date,temperature_2m_max,temperature_2m_min,precipitation_sum
2024-06-01,38.8,21.5,0.0
2024-06-02,37.0,22.9,0.0
2024-06-03,38.3,20.6,0.0
2024-06-04,39.3,21.1,0.0
2024-06-05,40.4,22.6,0.0
2024-06-06,43.0,23.5,0.0
2024-06-07,43.5,24.2,0.0
2024-06-08,38.2,24.8,0.0
2024-06-09,36.1,23.6,0.0
2024-06-10,37.2,22.9,0.0
2024-06-11,37.7,23.3,0.0
2024-06-12,39.4,22.5,0.0
2024-06-13,42.8,23.6,0.0
2024-06-14,44.9,25.4,0.0
2024-06-15,44.4,25.9,0.0
2024-06-16,39.7,24.1,0.0
2024-06-17,36.9,23.0,0.0
2024-06-18,37.3,23.5,0.0
2024-06-19,37.6,23.0,0.0
2024-06-20,38.6,24.2,0.0
2024-06-21,38.6,25.0,0.0
2024-06-22,38.9,25.4,0.0
2024-06-23,41.0,25.4,0.0
2024-06-24,41.7,25.9,0.0
2024-06-25,39.4,25.6,0.0
2024-06-26,38.4,23.6,0.0
2024-06-27,40.3,23.3,0.0
2024-06-28,41.1,23.6,0.0
2024-06-29,36.6,25.4,0.0
2024-06-30,35.8,23.9,0.0
2024-07-01,38.1,24.5,0.0
2024-07-02,37.4,23.6,0.0
2024-07-03,38.2,22.6,0.0
2024-07-04,41.3,25.6,0.0
2024-07-05,38.1,24.8,0.0
2024-07-06,35.4,24.6,0.0
2024-07-07,37.6,24.2,0.0
2024-07-08,38.0,24.0,0.0
2024-07-09,38.9,24.9,0.0
2024-07-10,40.4,25.2,0.0
2024-07-11,42.2,27.3,0.0
2024-07-12,42.6,27.4,0.0
2024-07-13,39.0,25.8,0.0
2024-07-14,37.1,25.5,0.0
2024-07-15,37.8,25.3,0.0
2024-07-16,38.3,24.9,0.0
2024-07-17,38.4,24.5,0.0
2024-07-18,38.4,24.3,0.0
2024-07-19,39.1,24.0,0.0
2024-07-20,40.3,25.0,0.0
2024-07-21,41.1,26.1,0.0
2024-07-22,40.6,25.8,0.0
2024-07-23,39.8,25.3,0.0
2024-07-24,39.5,25.1,0.0
2024-07-25,42.2,26.1,0.0
2024-07-26,37.3,25.8,0.0
2024-07-27,37.0,25.4,0.0
2024-07-28,38.5,24.3,0.0
2024-07-29,38.2,24.6,0.0
2024-07-30,37.9,24.3,0.0
2024-07-31,38.8,25.0,0.0
2024-08-01,38.9,25.0,0.0
2024-08-02,38.4,24.3,0.0
2024-08-03,37.7,25.0,0.0
2024-08-04,37.6,24.3,0.0
2024-08-05,38.0,22.5,0.0
2024-08-06,37.5,23.4,0.0
2024-08-07,38.7,25.0,0.0
2024-08-08,38.9,24.7,0.0
2024-08-09,38.9,24.4,0.0
2024-08-10,38.0,24.3,0.0
2024-08-11,38.8,24.1,0.0
2024-08-12,38.2,23.4,0.0
2024-08-13,37.7,25.1,0.0
2024-08-14,37.7,24.0,0.0
2024-08-15,39.0,23.4,0.0
2024-08-16,37.9,23.5,0.0
2024-08-17,38.9,25.7,0.0
2024-08-18,37.1,24.7,0.0
2024-08-19,38.6,23.6,0.0
2024-08-20,37.7,22.9,0.0
2024-08-21,39.5,22.9,0.0
2024-08-22,37.5,24.2,0.0
2024-08-23,36.5,24.6,0.0
2024-08-24,36.2,24.3,0.0
2024-08-25,38.7,24.8,0.0
2024-08-26,39.5,25.5,0.0
2024-08-27,38.3,25.4,0.0
2024-08-28,35.2,24.3,0.0
2024-08-29,36.9,23.5,0.0
2024-08-30,37.0,23.6,0.0
2024-08-31,36.6,23.3,0.0
2024-09-01,36.9,24.2,0.0
2024-09-02,38.2,25.2,0.0
2024-09-03,37.6,25.6,0.0
2024-09-04,34.7,23.1,0.0
2024-09-05,35.1,23.8,0.0
2024-09-06,35.8,24.4,0.0
2024-09-07,36.0,23.7,0.0
2024-09-08,36.6,24.1,0.0
2024-09-09,36.2,24.0,0.0
2024-09-10,37.2,23.1,0.0
2024-09-11,40.1,26.2,0.0
2024-09-12,40.3,26.8,0.0
2024-09-13,36.0,25.3,0.0
2024-09-14,34.7,22.6,0.0
2024-09-15,35.6,23.5,0.0
2024-09-16,34.4,24.5,0.0
2024-09-17,33.5,22.9,0.0
2024-09-18,34.7,21.5,0.0
2024-09-19,37.3,22.5,0.0
2024-09-20,40.3,27.0,0.0
2024-09-21,33.9,24.3,0.0
2024-09-22,32.5,23.0,0.0
2024-09-23,31.5,21.6,0.0
2024-09-24,32.5,19.6,0.0
2024-09-25,33.0,21.1,0.0
2024-09-26,33.8,20.4,0.0
2024-09-27,34.3,21.1,0.0
