datetime,temperature_2m,relativehumidity_2m,windspeed_10m
2024-06-01 00:00:00,27.2,26,3.3
2024-06-01 01:00:00,26.8,28,0.8
2024-06-01 02:00:00,25.9,32,1.8
2024-06-01 03:00:00,23.7,40,3.8
2024-06-01 04:00:00,22.8,45,3.2
2024-06-01 05:00:00,22.1,48,2.5
2024-06-01 06:00:00,21.5,49,2.8
2024-06-01 07:00:00,21.8,52,2.3
2024-06-01 08:00:00,24.3,37,1.8
2024-06-01 09:00:00,27.9,32,4.8
2024-06-01 10:00:00,31.1,25,5.2
2024-06-01 11:00:00,33.9,22,5.8
2024-06-01 12:00:00,36.5,18,6.5
2024-06-01 13:00:00,38.2,14,9.0
2024-06-01 14:00:00,38.8,13,11.0
2024-06-01 15:00:00,38.7,13,12.0
2024-06-01 16:00:00,38.6,13,12.0
2024-06-01 17:00:00,38.2,14,11.6
2024-06-01 18:00:00,37.4,15,12.6
2024-06-01 19:00:00,36.4,16,11.3
2024-06-01 20:00:00,34.6,18,8.7
2024-06-01 21:00:00,32.9,20,12.6
2024-06-01 22:00:00,31.5,22,10.2
2024-06-01 23:00:00,30.2,24,6.4
2024-06-02 00:00:00,28.8,25,4.3
2024-06-02 01:00:00,27.4,30,3.6
2024-06-02 02:00:00,26.3,35,3.6
2024-06-02 03:00:00,24.9,43,4.3
2024-06-02 04:00:00,24.2,45,4.6
2024-06-02 05:00:00,23.4,47,4.6
2024-06-02 06:00:00,22.9,45,5.4
2024-06-02 07:00:00,23.1,44,6.0
2024-06-02 08:00:00,25.1,41,7.6
2024-06-02 09:00:00,28.3,33,9.3
2024-06-02 10:00:00,31.0,27,10.9
2024-06-02 11:00:00,33.3,20,12.2
2024-06-02 12:00:00,35.0,17,13.9
2024-06-02 13:00:00,36.1,16,14.3
2024-06-02 14:00:00,36.9,16,14.2
2024-06-02 15:00:00,36.9,18,14.7
2024-06-02 16:00:00,37.0,23,14.7
2024-06-02 17:00:00,36.9,22,15.8
2024-06-02 18:00:00,35.3,23,17.6
2024-06-02 19:00:00,33.6,24,17.2
2024-06-02 20:00:00,31.4,25,15.6
2024-06-02 21:00:00,29.6,30,13.0
2024-06-02 22:00:00,28.0,37,11.8
2024-06-02 23:00:00,26.7,42,10.5
2024-06-03 00:00:00,25.6,49,10.0
2024-06-03 01:00:00,24.5,56,9.4
2024-06-03 02:00:00,23.6,63,8.3
2024-06-03 03:00:00,22.6,68,8.4
2024-06-03 04:00:00,21.9,72,8.1
2024-06-03 05:00:00,21.2,77,8.2
2024-06-03 06:00:00,20.6,82,9.0
2024-06-03 07:00:00,20.9,83,8.8
2024-06-03 08:00:00,22.5,75,9.8
2024-06-03 09:00:00,25.1,65,11.5
2024-06-03 10:00:00,27.6,55,11.9
2024-06-03 11:00:00,30.2,46,12.3
2024-06-03 12:00:00,32.9,35,12.3
2024-06-03 13:00:00,35.1,27,13.8
2024-06-03 14:00:00,36.7,23,14.2
2024-06-03 15:00:00,37.7,22,14.2
2024-06-03 16:00:00,38.3,20,14.5
2024-06-03 17:00:00,38.2,19,14.9
2024-06-03 18:00:00,37.4,20,13.8
2024-06-03 19:00:00,35.9,22,14.5
2024-06-03 20:00:00,33.6,25,13.8
2024-06-03 21:00:00,31.5,31,13.8
2024-06-03 22:00:00,29.3,38,13.1
2024-06-03 23:00:00,27.5,42,11.5
2024-06-04 00:00:00,26.0,46,9.8
2024-06-04 01:00:00,24.6,53,9.1
2024-06-04 02:00:00,23.6,58,7.4
2024-06-04 03:00:00,22.9,62,7.5
2024-06-04 04:00:00,22.2,66,6.8
2024-06-04 05:00:00,21.6,70,6.4
2024-06-04 06:00:00,21.1,71,5.9
2024-06-04 07:00:00,21.5,71,6.2
2024-06-04 08:00:00,23.1,66,7.2
2024-06-04 09:00:00,25.6,59,9.8
2024-06-04 10:00:00,28.0,51,10.1
2024-06-04 11:00:00,30.8,42,10.9
2024-06-04 12:00:00,33.3,34,10.8
2024-06-04 13:00:00,35.7,28,11.9
2024-06-04 14:00:00,37.5,23,11.9
2024-06-04 15:00:00,38.5,20,12.3
2024-06-04 16:00:00,39.2,18,12.6
2024-06-04 17:00:00,39.3,19,12.3
2024-06-04 18:00:00,38.5,21,12.8
2024-06-04 19:00:00,37.7,22,15.2
2024-06-04 20:00:00,34.5,29,18.3
2024-06-04 21:00:00,32.3,35,16.3
2024-06-04 22:00:00,30.1,43,14.5
2024-06-04 23:00:00,28.3,50,12.7
2024-06-05 00:00:00,27.1,53,11.2
2024-06-05 01:00:00,25.9,59,9.9
2024-06-05 02:00:00,25.0,65,9.3
2024-06-05 03:00:00,24.4,70,8.7
2024-06-05 04:00:00,23.7,74,8.2
2024-06-05 05:00:00,23.2,76,7.1
2024-06-05 06:00:00,22.6,77,5.6
2024-06-05 07:00:00,22.9,76,5.6
2024-06-05 08:00:00,24.5,69,6.3
2024-06-05 09:00:00,26.9,59,8.9
2024-06-05 10:00:00,29.4,49,9.7
2024-06-05 11:00:00,32.1,39,10.7
2024-06-05 12:00:00,34.4,33,11.3
2024-06-05 13:00:00,36.8,27,12.2
2024-06-05 14:00:00,38.6,23,12.4
2024-06-05 15:00:00,39.4,21,11.1
2024-06-05 16:00:00,40.2,19,11.3
2024-06-05 17:00:00,40.4,17,11.2
2024-06-05 18:00:00,39.6,19,10.2
2024-06-05 19:00:00,38.9,20,9.3
2024-06-05 20:00:00,37.2,23,8.3
2024-06-05 21:00:00,34.7,28,14.2
2024-06-05 22:00:00,32.7,31,12.4
2024-06-05 23:00:00,30.7,37,11.5
2024-06-06 00:00:00,29.2,42,11.2
2024-06-06 01:00:00,27.6,48,10.1
2024-06-06 02:00:00,26.4,53,9.4
2024-06-06 03:00:00,25.4,57,8.3
2024-06-06 04:00:00,24.6,63,7.5
2024-06-06 05:00:00,23.9,66,7.1
2024-06-06 06:00:00,23.5,69,6.7
2024-06-06 07:00:00,23.7,70,6.6
2024-06-06 08:00:00,25.2,66,6.9
2024-06-06 09:00:00,27.7,58,8.3
2024-06-06 10:00:00,30.3,50,8.8
2024-06-06 11:00:00,33.2,40,9.8
