date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,winddirection_10m_dominant
2024-06-01,38.3,19.2,28.6,0.0,0.0,0.0,0.0,20.9,102
2024-06-02,35.9,19.2,26.9,0.0,0.0,0.0,0.0,22.2,48
2024-06-03,34.1,19.3,26.3,0.0,0.0,0.0,0.0,23.1,353
2024-06-04,36.7,19.1,26.9,0.0,0.0,0.0,0.0,22.8,333
2024-06-05,38.0,20.5,28.3,0.0,0.0,0.0,0.0,20.1,325
2024-06-06,40.8,20.5,29.5,0.0,0.0,0.0,0.0,21.0,332
2024-06-07,41.2,21.4,29.9,0.0,0.0,0.0,0.0,22.9,323
2024-06-08,35.8,22.0,27.8,0.0,0.0,0.0,0.0,19.9,306
2024-06-09,34.1,21.3,26.9,0.0,0.0,0.0,0.0,20.7,289
2024-06-10,35.1,20.0,26.7,0.0,0.0,0.0,0.0,18.4,314
2024-06-11,36.1,20.1,27.1,0.0,0.0,0.0,0.0,18.4,335
2024-06-12,38.5,20.8,28.3,0.0,0.0,0.0,0.0,20.7,344
2024-06-13,42.5,22.0,30.5,0.0,0.0,0.0,0.0,20.6,360
2024-06-14,44.6,21.6,31.4,0.0,0.0,0.0,0.0,21.7,338
2024-06-15,41.0,23.0,30.5,0.0,0.0,0.0,0.0,24.0,329
2024-06-16,36.6,21.9,28.1,0.0,0.0,0.0,0.0,20.4,332
2024-06-17,34.8,19.8,26.8,0.0,0.0,0.0,0.0,19.3,307
2024-06-18,35.2,21.9,27.4,0.0,0.0,0.0,0.0,19.6,328
2024-06-19,36.1,22.0,27.9,0.0,0.0,0.0,0.0,18.0,328
2024-06-20,37.2,21.1,27.9,0.0,0.0,0.0,0.0,18.4,325
2024-06-21,36.4,21.2,27.9,0.0,0.0,0.0,0.0,18.6,306
2024-06-22,36.4,21.0,28.2,0.0,0.0,0.0,0.0,18.7,294
2024-06-23,39.9,22.1,29.6,0.0,0.0,0.0,0.0,20.2,307
2024-06-24,40.3,20.6,29.2,0.0,0.0,0.0,0.0,21.0,339
2024-06-25,36.7,22.1,28.0,0.0,0.0,0.0,0.0,19.5,335
2024-06-26,36.7,22.0,28.2,0.0,0.0,0.0,0.0,17.3,321
2024-06-27,37.9,21.9,28.5,0.0,0.0,0.0,0.0,18.5,320
2024-06-28,38.0,21.4,29.1,0.0,0.0,0.0,0.0,18.4,311
2024-06-29,34.4,23.6,28.2,0.0,0.0,0.0,0.0,19.0,307
2024-06-30,35.6,21.6,27.9,0.0,0.0,0.0,0.0,16.8,299
2024-07-01,36.1,23.3,28.3,0.0,0.0,0.0,0.0,18.3,304
2024-07-02,35.9,22.1,27.8,0.0,0.0,0.0,0.0,16.2,307
2024-07-03,38.8,20.1,28.3,0.0,0.0,0.0,0.0,16.3,289
2024-07-04,39.6,20.8,28.7,0.0,0.0,0.0,0.0,20.6,343
2024-07-05,33.9,22.4,27.8,0.0,0.0,0.0,0.0,17.9,342
2024-07-06,33.6,22.1,27.2,0.0,0.0,0.0,0.0,18.8,317
2024-07-07,35.6,22.2,27.9,0.0,0.0,0.0,0.0,20.0,313
2024-07-08,36.2,23.2,28.8,0.0,0.0,0.0,0.0,18.9,301
2024-07-09,37.5,23.3,29.0,0.0,0.0,0.0,0.0,19.4,297
2024-07-10,38.2,23.4,29.2,0.0,0.0,0.0,0.0,19.8,318
2024-07-11,41.0,23.3,30.1,0.0,0.0,0.0,0.0,19.9,358
2024-07-12,38.2,23.8,29.4,0.0,0.0,0.0,0.0,21.5,0
2024-07-13,37.1,23.0,28.9,0.0,0.0,0.0,0.0,20.5,289
2024-07-14,35.6,23.5,28.6,0.0,0.0,0.0,0.0,19.0,283
2024-07-15,36.2,23.2,28.6,0.0,0.0,0.0,0.0,16.9,280
2024-07-16,36.6,21.6,28.0,0.0,0.0,0.0,0.0,15.5,286
2024-07-17,35.1,21.7,27.6,0.0,0.0,0.0,0.0,15.2,310
2024-07-18,35.7,21.4,27.6,0.0,0.0,0.0,0.0,17.6,325
2024-07-19,37.2,21.6,28.4,0.0,0.0,0.0,0.0,18.4,318
2024-07-20,38.4,22.2,29.3,0.0,0.0,0.0,0.0,16.8,300
2024-07-21,37.5,22.9,29.5,0.0,0.0,0.0,0.0,17.9,304
2024-07-22,39.2,23.1,30.0,0.0,0.0,0.0,0.0,17.6,315
2024-07-23,37.7,24.3,29.5,0.0,0.0,0.0,0.0,18.3,287
2024-07-24,39.3,23.6,29.6,0.0,0.0,0.0,0.0,18.0,300
2024-07-25,40.5,22.5,29.4,0.0,0.0,0.0,0.0,22.2,309
2024-07-26,35.3,24.0,28.9,0.0,0.0,0.0,0.0,21.7,300
2024-07-27,35.3,23.9,28.7,0.0,0.0,0.0,0.0,18.2,306
2024-07-28,37.7,22.3,28.8,0.0,0.0,0.0,0.0,17.9,360
2024-07-29,37.1,22.9,28.8,0.0,0.0,0.0,0.0,21.3,328
2024-07-30,35.9,22.3,28.4,0.0,0.0,0.0,0.0,15.6,296
2024-07-31,37.0,22.6,28.9,0.0,0.0,0.0,0.0,15.6,284
2024-08-01,37.5,23.4,28.8,0.0,0.0,0.0,0.0,19.0,308
2024-08-02,37.1,23.3,28.7,0.0,0.0,0.0,0.0,19.9,326
2024-08-03,35.6,22.1,27.9,0.0,0.0,0.0,0.0,17.4,294
2024-08-04,36.0,21.0,27.3,0.0,0.0,0.0,0.0,18.1,299
2024-08-05,37.3,19.9,27.4,0.0,0.0,0.0,0.0,18.1,300
2024-08-06,36.5,20.8,27.8,0.0,0.0,0.0,0.0,18.2,307
2024-08-07,36.7,24.1,29.1,0.0,0.0,0.0,0.0,18.6,321
2024-08-08,37.1,21.8,28.5,0.0,0.0,0.0,0.0,19.2,317
2024-08-09,37.5,21.7,28.4,0.0,0.0,0.0,0.0,19.0,317
2024-08-10,35.9,21.9,27.8,0.0,0.0,0.0,0.0,17.0,323
2024-08-11,36.8,23.2,28.7,0.0,0.0,0.0,0.0,19.8,306
2024-08-12,37.0,21.6,28.2,0.0,0.0,0.0,0.0,18.1,317
2024-08-13,36.2,21.1,28.2,0.0,0.0,0.0,0.0,16.9,291
2024-08-14,36.2,21.9,28.1,0.0,0.0,0.0,0.0,19.2,307
2024-08-15,37.8,21.0,28.3,0.0,0.0,0.0,0.0,19.2,316
2024-08-16,36.9,22.5,28.6,0.0,0.0,0.0,0.0,19.1,296
2024-08-17,37.8,22.7,29.1,0.0,0.0,0.0,0.0,18.3,291
2024-08-18,37.1,23.5,28.8,0.0,0.0,0.0,0.0,18.9,279
2024-08-19,36.5,21.3,27.5,0.0,0.0,0.0,0.0,17.6,296
2024-08-20,37.0,20.9,27.6,0.0,0.0,0.0,0.0,17.1,322
2024-08-21,39.1,20.3,28.6,0.0,0.0,0.0,0.0,17.9,327
2024-08-22,35.9,22.5,28.5,0.0,0.0,0.0,0.0,17.7,319
