datetime,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,cloudcover,windspeed_10m,winddirection_10m
2024-06-01 00:00:00,22.4,47,10.6,21.1,0.0,0.0,0.0,0,10.3,119
2024-06-01 01:00:00,21.9,51,11.3,20.8,0.0,0.0,0.0,0,10.0,131
2024-06-01 02:00:00,21.3,52,11.0,20.4,0.0,0.0,0.0,0,8.4,130
2024-06-01 03:00:00,20.4,54,10.8,19.7,0.0,0.0,0.0,0,6.9,129
2024-06-01 04:00:00,20.0,54,10.4,19.1,0.0,0.0,0.0,0,6.7,126
2024-06-01 05:00:00,19.6,55,10.3,18.8,0.0,0.0,0.0,0,5.9,133
2024-06-01 06:00:00,19.2,55,10.0,18.4,0.0,0.0,0.0,0,5.6,135
2024-06-01 07:00:00,20.2,54,10.6,19.6,0.0,0.0,0.0,0,5.4,143
2024-06-01 08:00:00,23.6,44,10.6,22.9,0.0,0.0,0.0,0,6.0,147
2024-06-01 09:00:00,27.5,35,10.7,26.7,0.0,0.0,0.0,0,6.9,137
2024-06-01 10:00:00,30.8,27,9.7,30.1,0.0,0.0,0.0,0,8.7,138
2024-06-01 11:00:00,33.6,22,8.9,33.4,0.0,0.0,0.0,0,10.0,131
2024-06-01 12:00:00,35.4,20,9.1,35.7,0.0,0.0,0.0,0,11.5,122
2024-06-01 13:00:00,37.0,18,8.8,37.7,0.0,0.0,0.0,0,10.1,117
2024-06-01 14:00:00,38.0,17,8.8,39.4,0.0,0.0,0.0,0,6.5,109
2024-06-01 15:00:00,38.3,16,8.1,39.6,0.0,0.0,0.0,0,3.6,45
2024-06-01 16:00:00,38.3,16,8.1,38.7,0.0,0.0,0.0,0,4.3,42
2024-06-01 17:00:00,38.0,17,8.7,36.8,0.0,0.0,0.0,0,8.4,59
2024-06-01 18:00:00,35.9,24,12.2,33.5,0.0,0.0,0.0,0,20.9,58
2024-06-01 19:00:00,33.9,24,10.5,31.6,0.0,0.0,0.0,0,17.0,58
2024-06-01 20:00:00,31.1,29,11.0,29.7,0.0,0.0,0.0,0,11.8,67
2024-06-01 21:00:00,28.4,35,11.5,27.0,0.0,0.0,0.0,0,12.3,85
2024-06-01 22:00:00,26.3,41,12.0,25.4,0.0,0.0,0.0,0,10.8,90
2024-06-01 23:00:00,24.7,49,13.3,24.4,0.0,0.0,0.0,0,9.7,92
2024-06-02 00:00:00,23.5,52,13.1,23.2,0.0,0.0,0.0,0,8.9,104
2024-06-02 01:00:00,22.6,56,13.4,22.4,0.0,0.0,0.0,0,8.7,107
2024-06-02 02:00:00,21.8,59,13.5,21.8,0.0,0.0,0.0,0,7.9,106
2024-06-02 03:00:00,20.7,62,13.2,20.7,0.0,0.0,0.0,0,6.9,99
2024-06-02 04:00:00,20.1,65,13.3,20.3,0.0,0.0,0.0,0,6.5,90
2024-06-02 05:00:00,19.5,68,13.5,19.7,0.0,0.0,0.0,0,6.2,80
2024-06-02 06:00:00,19.2,68,13.1,19.3,0.0,0.0,0.0,0,6.2,69
2024-06-02 07:00:00,20.0,69,14.1,20.4,0.0,0.0,0.0,0,6.1,62
2024-06-02 08:00:00,23.0,59,14.6,23.5,0.0,0.0,0.0,0,6.9,62
2024-06-02 09:00:00,26.3,51,15.4,26.7,0.0,0.0,0.0,0,10.2,72
2024-06-02 10:00:00,29.0,44,15.6,29.9,0.0,0.0,0.0,0,11.0,67
2024-06-02 11:00:00,31.7,36,14.8,33.1,0.0,0.0,0.0,0,11.9,55
2024-06-02 12:00:00,33.9,30,13.9,35.4,0.0,0.0,0.0,0,13.2,47
2024-06-02 13:00:00,35.3,26,12.9,36.4,0.0,0.0,0.0,0,15.1,38
2024-06-02 14:00:00,35.9,22,10.9,35.8,0.0,0.0,0.0,0,17.9,38
2024-06-02 15:00:00,35.3,24,11.7,34.7,0.0,0.0,0.0,0,20.0,39
2024-06-02 16:00:00,34.5,26,12.3,33.2,0.0,0.0,0.0,0,21.5,35
2024-06-02 17:00:00,33.4,27,11.9,31.1,0.0,0.0,0.0,0,22.2,32
